,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
4919,H,-0.5,-0.25,1.0555555555555556,1.1388888888888888,D,L,L,L,L,W
4920,H,-0.6486486486486487,0.972972972972973,0.7567567567567568,1.9189189189189189,W,L,D,W,W,D
4921,H,0.6486486486486487,0.08108108108108109,1.6216216216216217,1.4594594594594594,W,D,L,D,W,L
4922,H,0.7297297297297297,1.162162162162162,1.864864864864865,1.945945945945946,W,D,W,D,W,W
4923,D,2.054054054054054,-0.7837837837837838,2.5405405405405403,0.972972972972973,D,D,W,L,W,W
4924,NH,-0.7027027027027027,-0.5135135135135135,0.8918918918918919,0.8918918918918919,L,D,L,W,L,D
4925,D,0.7297297297297297,-0.7837837837837838,1.864864864864865,0.972972972972973,W,D,W,L,W,W
4926,H,-0.13513513513513514,0.6486486486486487,1.1891891891891893,1.6216216216216217,L,W,L,L,D,W
4927,H,2.054054054054054,-0.3783783783783784,2.5405405405405403,1.0810810810810811,D,W,W,D,W,D
4928,H,0.972972972972973,-0.2702702702702703,1.9189189189189189,1.1081081081081081,L,L,W,L,D,L
4929,D,-0.5945945945945946,1.054054054054054,1.027027027027027,2.081081081081081,W,L,L,W,L,W
4930,NH,-0.05263157894736842,-0.4473684210526316,1.4210526315789473,1.0789473684210527,L,W,D,L,D,L
4931,H,-0.3157894736842105,-0.6052631578947368,1.0789473684210527,0.8157894736842105,W,W,W,W,D,D
4932,NH,-0.7631578947368421,0.5789473684210527,0.9736842105263158,1.5789473684210527,D,L,D,W,L,L
4933,H,1.105263157894737,-0.42105263157894735,1.894736842105263,1.0526315789473684,L,L,D,W,D,D
4934,H,1.0263157894736843,-0.5,2.0526315789473686,1.0789473684210527,D,W,L,L,W,D
4935,H,-0.2894736842105263,0.7105263157894737,1.0789473684210527,1.8421052631578947,L,D,L,W,L,W
4936,NH,-0.47368421052631576,2.0526315789473686,0.9473684210526315,2.5526315789473686,W,W,D,D,W,W
4937,NH,-0.7105263157894737,-0.8947368421052632,0.868421052631579,0.7894736842105263,L,L,L,D,L,D
4938,H,0.9736842105263158,-0.07894736842105263,1.9473684210526316,1.236842105263158,W,W,L,L,W,L
4939,H,-0.5789473684210527,-0.3157894736842105,1.0263157894736843,1.2894736842105263,D,D,W,W,L,W
4970,D,-0.5,-0.5,0.75,0.75,L,W,W,L,L,L
4971,H,1.25,0.75,2.25,1.75,W,D,W,W,W,W
4972,NH,-0.25,-0.5,0.75,0.25,L,L,L,L,W,D
4973,D,0.25,-2.0,1.25,0.25,D,D,W,L,D,L
4974,NH,0.5,1.75,1.5,2.25,W,W,W,W,L,W
4975,H,1.75,-0.5,1.75,0.25,D,L,W,D,W,L
4976,NH,-1.75,-0.5,0.0,0.5,L,D,L,L,L,D
4977,NH,-1.0,-0.75,0.25,0.75,L,L,L,L,D,W
4978,NH,-0.5,-0.25,0.5,0.75,D,W,D,L,L,L
4979,H,1.25,1.5,2.25,2.25,W,W,W,W,W,W
4980,H,0.2,0.2,1.4,1.2,L,L,D,W,W,W
4981,H,1.4,-0.6,2.4,0.4,W,L,W,D,W,D
4982,NH,-1.6,-0.6,0.4,0.6,D,L,D,L,L,L
4983,H,1.6,-0.4,2.0,0.8,W,D,D,W,W,L
4984,NH,-0.6,0.0,0.2,1.2,L,W,L,W,D,L
4985,NH,1.0,1.6,1.8,2.4,L,W,W,W,W,W
4986,NH,1.2,-0.2,2.4,1.2,W,W,W,L,W,L
4987,NH,0.2,-1.6,1.2,0.0,D,L,D,L,W,L
4988,H,-0.2,-1.2,1.0,0.2,W,L,D,L,L,L
4989,D,0.0,-0.4,0.8,0.8,W,D,L,L,L,W
4990,NH,-0.3333333333333333,0.6666666666666666,0.8333333333333334,1.5,D,L,D,L,L,W
4991,H,-1.1666666666666667,0.5,0.16666666666666666,1.6666666666666667,L,W,L,L,L,D
4992,NH,-1.0,1.8333333333333333,0.3333333333333333,2.1666666666666665,L,W,L,W,D,D
4993,D,-0.3333333333333333,-0.6666666666666666,1.0,0.16666666666666666,W,L,L,L,L,L
4994,D,-0.8333333333333334,0.8333333333333334,0.6666666666666666,2.0,L,L,D,W,W,W
4995,H,-0.16666666666666666,-1.5,1.0,0.3333333333333333,L,L,L,D,W,D
4996,H,1.5,0.0,2.5,0.8333333333333334,W,D,W,W,W,L
4997,D,0.0,0.0,1.5,1.3333333333333333,W,W,W,W,L,D
4998,H,0.16666666666666666,-0.16666666666666666,1.5,1.0,W,L,W,D,W,D
4999,D,-1.0,1.6666666666666667,0.5,2.5,W,W,L,W,L,W
5000,H,0.42857142857142855,0.7142857142857143,1.7142857142857142,1.8571428571428572,W,D,W,L,W,W
5001,D,1.4285714285714286,1.7142857142857142,2.2857142857142856,2.5714285714285716,D,W,W,W,W,W
5002,H,-0.42857142857142855,-0.7142857142857143,0.8571428571428571,0.7142857142857143,L,D,L,L,D,D
5003,NH,-1.5714285714285714,0.7142857142857143,0.2857142857142857,1.7142857142857142,L,W,L,L,D,L
5004,H,2.2857142857142856,-0.42857142857142855,2.2857142857142856,0.7142857142857143,W,L,W,D,W,D
5005,NH,-0.5714285714285714,0.14285714285714285,0.2857142857142857,1.2857142857142858,D,W,L,L,L,L
5006,H,-0.8571428571428571,0.0,0.5714285714285714,1.4285714285714286,D,D,W,W,L,W
5007,H,0.0,-0.42857142857142855,1.2857142857142858,0.7142857142857143,D,L,W,D,W,W
5008,NH,-1.5714285714285714,-0.42857142857142855,0.2857142857142857,0.5714285714285714,L,W,L,L,L,L
5009,H,-0.14285714285714285,-0.2857142857142857,1.4285714285714286,1.0,L,D,W,W,L,L
5010,H,-0.625,-0.5,0.625,0.875,L,W,L,D,D,W
5011,D,-0.25,-1.625,0.875,0.25,W,L,W,L,L,L
5012,NH,-0.375,0.25,0.875,1.5,L,W,D,D,W,W
5013,NH,0.375,0.0,1.5,1.125,W,W,W,L,L,L
5014,H,-0.25,-0.75,1.25,0.25,L,L,D,D,W,L
5015,H,0.875,-1.5,1.875,0.25,W,L,W,L,L,L
5016,NH,0.375,0.0,1.625,1.625,L,W,D,L,L,W
5017,NH,-1.0,0.625,0.625,1.875,L,W,D,W,L,W
5018,D,1.5,2.25,2.375,2.375,D,W,W,W,W,W
5019,NH,-0.625,1.25,0.625,2.125,L,D,L,D,D,W
5020,D,0.4444444444444444,-0.8888888888888888,1.7777777777777777,0.5555555555555556,W,L,W,L,L,L
5021,H,-1.4444444444444444,-1.3333333333333333,0.2222222222222222,0.5555555555555556,L,L,L,L,L,D
5022,D,1.4444444444444444,-0.1111111111111111,2.2222222222222223,1.4444444444444444,W,W,D,L,D,D
5023,NH,-1.4444444444444444,1.3333333333333333,0.3333333333333333,2.2222222222222223,D,D,L,D,L,W
5024,H,2.0,-0.2222222222222222,2.2222222222222223,0.8888888888888888,D,D,W,W,W,W
5025,NH,-0.7777777777777778,-0.4444444444444444,0.2222222222222222,0.8888888888888888,L,W,L,L,D,L
5026,NH,-0.5555555555555556,0.8888888888888888,0.7777777777777778,2.0,L,W,W,W,D,W
5027,NH,0.3333333333333333,-0.1111111111111111,1.6666666666666667,1.4444444444444444,W,L,W,L,D,D
5028,H,0.1111111111111111,-0.4444444444444444,1.3333333333333333,0.7777777777777778,W,L,W,L,L,D
5029,H,1.0,0.2222222222222222,2.0,1.3333333333333333,W,L,W,W,W,W
5030,H,-0.3,0.1,1.1,1.5,W,L,W,W,L,W
5031,NH,-1.4,0.4,0.5,1.7,L,D,L,W,L,W
5032,D,0.0,-0.6,1.2,0.7,L,L,L,L,W,W
5033,H,1.3,-1.1,2.3,0.5,W,W,D,L,D,L
5034,D,-0.8,-0.8,0.6,0.2,D,L,L,L,L,L
5035,H,0.1,-1.4,1.6,0.3,W,L,L,D,L,L
5036,NH,-0.7,1.3,0.8,2.1,L,D,D,W,W,D
5037,D,-0.6,1.1,0.7,2.1,L,W,L,W,L,W
5038,H,-0.1,0.3,1.4,1.5,D,W,W,W,L,W
5039,NH,0.9,2.3,2.1,2.3,W,W,W,D,W,W
5040,D,1.0,1.4545454545454546,2.0,2.3636363636363638,D,W,W,W,W,D
5041,NH,0.6363636363636364,0.0,1.8181818181818181,1.5454545454545454,W,W,D,D,W,W
5042,NH,-1.2727272727272727,0.0,0.45454545454545453,1.1818181818181819,L,D,W,L,L,L
5043,H,0.18181818181818182,-0.18181818181818182,1.3636363636363635,1.2727272727272727,L,W,W,W,W,W
5044,H,-0.7272727272727273,0.36363636363636365,0.2727272727272727,1.7272727272727273,D,W,L,W,L,L
5045,H,-0.5454545454545454,-1.0,0.7272727272727273,0.7272727272727273,D,L,L,L,L,D
5046,NH,0.0,0.7272727272727273,1.3636363636363635,1.9090909090909092,L,L,L,W,W,W
5047,H,1.5454545454545454,-0.5454545454545454,2.1818181818181817,0.7272727272727273,W,D,D,L,W,L
5048,H,2.1818181818181817,-0.7272727272727273,2.3636363636363638,0.6363636363636364,W,D,W,D,D,L
5049,H,-1.5454545454545454,-1.5454545454545454,0.2727272727272727,0.45454545454545453,L,L,L,L,D,L
5050,H,-1.25,-0.3333333333333333,0.4166666666666667,1.1666666666666667,L,L,L,W,W,W
5051,NH,-0.6666666666666666,0.75,0.6666666666666666,2.0,L,W,D,L,L,W
5052,D,-1.3333333333333333,-0.3333333333333333,0.5,0.9166666666666666,W,W,L,D,L,L
5053,D,0.08333333333333333,-1.0833333333333333,1.3333333333333333,0.6666666666666666,W,L,D,L,L,L
5054,H,-0.5833333333333334,0.5,0.5,1.6666666666666667,W,L,D,W,L,D
5055,D,-1.0833333333333333,0.25,0.5833333333333334,1.5833333333333333,L,L,D,W,D,W
5056,D,0.9166666666666666,-0.08333333333333333,1.9166666666666667,1.25,D,L,D,L,W,L
5057,D,1.5833333333333333,0.3333333333333333,2.25,1.5,W,W,W,L,D,W
5058,H,1.3333333333333333,-1.5,2.25,0.4166666666666667,D,L,W,L,W,L
5059,H,2.4166666666666665,0.08333333333333333,2.4166666666666665,1.6666666666666667,W,W,W,W,W,D
5060,D,-0.38461538461538464,0.07692307692307693,1.0769230769230769,1.3076923076923077,L,D,L,W,W,D
5061,H,0.3076923076923077,-1.0769230769230769,1.4615384615384615,0.6153846153846154,D,W,W,L,L,L
5062,H,-1.5384615384615385,-1.0,0.38461538461538464,0.6153846153846154,L,D,L,L,L,D
5063,D,-0.07692307692307693,-0.6923076923076923,1.5384615384615385,0.6153846153846154,L,L,W,L,W,D
5064,H,0.7692307692307693,1.4615384615384615,2.076923076923077,2.1538461538461537,W,D,W,W,L,W
5065,NH,0.23076923076923078,1.3846153846153846,1.5384615384615385,2.3076923076923075,D,W,L,D,W,W
5066,NH,-0.3076923076923077,2.3846153846153846,0.9230769230769231,2.4615384615384617,D,W,W,W,D,W
5067,NH,0.38461538461538464,0.8461538461538461,1.5384615384615385,1.8461538461538463,L,D,L,D,W,D
5068,NH,-0.07692307692307693,-1.2307692307692308,1.2307692307692308,0.5384615384615384,D,D,L,W,L,L
5069,NH,-1.0,-0.46153846153846156,0.6923076923076923,0.6923076923076923,D,W,L,W,L,D
5070,H,-1.0714285714285714,-0.21428571428571427,0.5714285714285714,1.1428571428571428,L,L,W,D,L,L
5071,H,-0.6428571428571429,-1.0,0.6428571428571429,0.6428571428571429,D,L,L,D,L,L
5072,NH,-1.0,-0.35714285714285715,0.7142857142857143,1.0714285714285714,W,D,D,L,W,L
5073,H,0.07142857142857142,0.0,1.2857142857142858,1.4285714285714286,D,L,D,D,W,L
5074,H,2.5,0.2857142857142857,2.5,1.4285714285714286,W,L,W,L,W,L
5075,NH,-0.35714285714285715,-0.5714285714285714,0.8571428571428571,0.8571428571428571,W,L,W,D,W,W
5076,D,-1.0,-0.07142857142857142,0.5714285714285714,1.5,L,D,D,L,L,W
5077,H,0.8571428571428571,0.8571428571428571,1.9285714285714286,2.142857142857143,W,W,D,W,D,W
5078,H,1.2142857142857142,-1.3571428571428572,2.0,0.5714285714285714,L,W,D,L,W,L
5079,H,1.5,0.35714285714285715,2.357142857142857,1.5714285714285714,W,W,W,D,D,W
5080,H,0.13333333333333333,-1.0,1.3333333333333333,0.6666666666666666,L,L,L,W,L,D
5081,H,-0.26666666666666666,-0.4666666666666667,1.2,0.8,W,W,D,D,L,L
5082,NH,-0.13333333333333333,2.466666666666667,1.3333333333333333,2.533333333333333,L,W,L,W,D,W
5083,H,-0.3333333333333333,-0.9333333333333333,1.0,0.7333333333333333,W,W,L,L,D,W
5084,NH,-1.0666666666666667,1.4666666666666666,0.6,2.4,L,W,L,W,D,W
5085,D,0.26666666666666666,-0.5333333333333333,1.4666666666666666,0.8,L,L,W,W,D,W
5086,D,-1.4,0.2,0.5333333333333333,1.4,L,W,W,D,L,D
5087,D,-0.06666666666666667,0.9333333333333333,1.4666666666666666,2.0,D,W,D,W,L,D
5088,H,0.6666666666666666,-0.9333333333333333,2.0,0.6,L,D,W,L,W,D
5089,H,-0.26666666666666666,1.2666666666666666,1.0666666666666667,2.066666666666667,L,W,L,L,D,D
5090,H,0.875,-1.0,1.9375,0.625,D,L,W,L,W,W
5091,NH,0.1875,1.5,1.4375,2.4375,W,W,L,W,L,W
5092,H,-1.125,-0.125,0.5625,1.3125,L,W,L,W,L,D
5093,H,-1.0,-1.0,0.6875,0.5625,L,L,W,D,L,L
5094,H,1.125,2.375,1.9375,2.5625,L,W,W,W,L,W
5095,NH,0.1875,0.75,1.375,2.0625,D,W,W,L,D,W
5096,H,-0.0625,-1.3125,1.4375,0.5625,D,D,D,L,D,W
5097,H,-0.1875,-0.5625,1.125,0.75,W,L,W,W,L,D
5098,NH,-0.5,-0.1875,0.8125,1.1875,D,W,L,L,W,L
5099,D,0.25,-0.1875,1.4375,1.25,D,L,L,L,W,L
5100,H,-0.5882352941176471,0.058823529411764705,0.7058823529411765,1.2941176470588236,L,L,L,D,W,W
5101,NH,-1.411764705882353,-0.11764705882352941,0.5294117647058824,1.2352941176470589,L,W,D,W,L,W
5102,NH,-1.0,-0.5294117647058824,0.5882352941176471,0.7647058823529411,L,L,L,D,L,L
5103,H,2.1176470588235294,0.23529411764705882,2.411764705882353,1.411764705882353,L,D,W,D,W,L
5104,H,0.8235294117647058,-1.0,2.1176470588235294,0.7058823529411765,W,W,W,L,L,L
5105,H,-0.17647058823529413,-0.8823529411764706,1.2352941176470589,0.8235294117647058,D,W,L,L,L,W
5106,H,-0.11764705882352941,-0.058823529411764705,1.2941176470588236,1.3529411764705883,W,L,W,W,L,L
5107,NH,-0.17647058823529413,1.1764705882352942,1.2352941176470589,2.0,L,W,W,L,W,W
5108,H,1.6470588235294117,0.11764705882352941,2.4705882352941178,1.5294117647058822,W,W,W,D,W,D
5109,H,-1.0,0.8823529411764706,0.5294117647058824,2.0,L,W,L,D,D,W
5110,NH,0.0,1.6666666666666667,1.3888888888888888,2.5,W,W,W,W,W,W
5111,H,0.7777777777777778,-1.0,1.8888888888888888,0.6666666666666666,L,L,W,W,D,L
5112,H,-0.16666666666666666,-0.2222222222222222,1.2777777777777777,1.1666666666666667,L,L,L,L,W,W
5113,NH,-0.8888888888888888,0.0,0.7777777777777778,1.4444444444444444,L,L,W,W,L,D
5114,NH,1.1666666666666667,0.0,2.0555555555555554,1.2222222222222223,W,L,W,L,L,D
5115,NH,-1.0,-0.8888888888888888,0.5555555555555556,0.6666666666666666,L,W,L,L,L,L
5116,NH,2.111111111111111,-0.5,2.4444444444444446,0.8333333333333334,W,W,L,L,W,L
5117,D,-0.4444444444444444,-1.4444444444444444,0.8888888888888888,0.5,W,L,L,L,D,D
5118,NH,0.0,-0.1111111111111111,1.3333333333333333,1.3333333333333333,W,W,W,D,W,L
5119,NH,0.1111111111111111,0.8333333333333334,1.3333333333333333,2.1666666666666665,L,W,D,W,D,W
5120,D,-0.3157894736842105,0.8421052631578947,1.105263157894737,1.9473684210526316,L,W,L,L,L,W
5121,NH,-1.0526315789473684,-0.10526315789473684,0.631578947368421,1.263157894736842,L,L,L,L,W,D
5122,D,-0.42105263157894735,-1.0526315789473684,0.9473684210526315,0.7368421052631579,W,L,W,L,L,W
5123,D,-1.368421052631579,-0.10526315789473684,0.5263157894736842,1.3157894736842106,D,L,L,W,L,W
5124,H,0.05263157894736842,1.9473684210526316,1.3157894736842106,2.3157894736842106,W,L,L,W,L,L
5125,H,1.6842105263157894,-0.42105263157894735,2.526315789473684,0.8947368421052632,W,D,W,W,W,L
5126,H,0.21052631578947367,-1.0526315789473684,1.5263157894736843,0.5263157894736842,W,L,L,L,W,L
5127,H,1.0,-0.05263157894736842,2.210526315789474,1.368421052631579,W,W,W,L,W,L
5128,NH,0.0,1.0526315789473684,1.4210526315789473,1.9473684210526316,W,L,W,W,D,W
5129,NH,-0.7368421052631579,-0.10526315789473684,0.7894736842105263,1.263157894736842,W,L,W,W,L,W
5130,H,-0.3,0.1,1.1,1.35,D,W,L,L,L,L
5131,H,-1.3,-1.1,0.55,0.5,D,L,D,L,L,L
5132,NH,0.1,-1.0,1.4,0.75,W,D,W,L,L,L
5133,H,1.8,0.8,2.55,1.9,W,D,W,W,W,L
5134,NH,1.2,-0.1,2.25,1.3,W,D,W,L,W,W
5135,D,-0.05,-0.6,1.35,0.85,L,L,W,D,W,W
5136,H,-1.2,-0.05,0.6,1.35,L,W,L,L,L,W
5137,NH,-0.4,1.05,0.95,2.0,D,W,W,L,W,W
5138,H,0.3,-0.3,1.6,1.3,W,L,W,W,L,L
5139,NH,-0.75,1.8,0.75,2.2,L,L,W,L,W,W
