,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
2319,NH,0.5,0.5,1.75,1.0,D,W,W,D,W,L
2320,H,-0.6,-1.0,0.4,0.2,L,L,D,L,D,D
2321,D,0.0,0.0,1.0,1.0,W,L,D,D,D,W
2322,NH,-0.2,0.6,1.2,1.4,L,L,L,D,W,W
2323,NH,-0.8,0.8,1.2,1.6,W,W,W,D,L,D
2324,NH,-0.4,0.4,0.6,1.4,L,W,D,L,D,D
2325,D,0.2,0.0,1.4,1.4,W,W,W,L,L,D
2326,NH,-0.2,0.6,1.4,1.4,L,W,D,W,W,L
2327,H,1.4,-0.8,1.8,0.4,L,D,W,D,W,L
2328,D,-0.6,0.2,0.2,1.0,L,W,L,D,L,D
2329,H,0.6,-0.2,1.4,0.8,W,D,W,D,D,D
2330,D,0.16666666666666666,-0.16666666666666666,1.0,1.0,D,L,W,L,D,L
2331,D,-0.16666666666666666,1.1666666666666667,0.6666666666666666,2.0,L,W,D,L,D,W
2332,D,0.5,0.16666666666666666,1.6666666666666667,1.3333333333333333,W,D,W,W,W,W
2333,H,0.5,-0.6666666666666666,1.3333333333333333,1.1666666666666667,D,L,W,L,L,D
2334,H,-0.16666666666666666,-1.0,0.3333333333333333,0.8333333333333334,L,W,D,L,D,D
2335,H,0.6666666666666666,-0.16666666666666666,1.6666666666666667,1.0,W,D,L,W,D,D
2336,H,-0.16666666666666666,-1.3333333333333333,0.16666666666666666,1.0,L,L,L,W,L,W
2337,D,0.0,0.5,1.0,1.6666666666666667,D,W,L,W,D,W
2338,H,1.0,-0.6666666666666666,1.8333333333333333,0.5,W,L,W,L,D,D
2339,D,0.3333333333333333,-0.5,1.6666666666666667,0.3333333333333333,W,D,W,L,L,L
2340,D,-0.14285714285714285,0.42857142857142855,0.8571428571428571,1.5714285714285714,L,D,D,W,W,W
2341,NH,-1.1428571428571428,1.2857142857142858,0.7142857142857143,1.8571428571428572,L,D,W,W,L,L
2342,H,0.0,0.7142857142857143,1.0,2.0,D,W,L,W,L,W
2343,H,-1.0,-0.2857142857142857,0.8571428571428571,0.7142857142857143,L,D,L,L,W,D
2344,D,0.42857142857142855,0.14285714285714285,1.5714285714285714,1.0,W,D,D,D,W,W
2345,H,-0.2857142857142857,-0.2857142857142857,0.42857142857142855,1.0,L,D,L,D,L,L
2346,D,-0.42857142857142855,-0.14285714285714285,0.42857142857142855,0.5714285714285714,D,W,D,L,L,L
2347,H,0.5714285714285714,-0.2857142857142857,1.5714285714285714,0.7142857142857143,D,W,W,L,W,D
2348,NH,-0.42857142857142855,0.8571428571428571,1.2857142857142858,1.5714285714285714,D,D,D,W,W,W
2349,D,-0.5714285714285714,0.5714285714285714,1.0,1.8571428571428572,L,W,L,W,L,L
2350,NH,-0.5,0.25,0.875,1.25,L,W,D,D,D,L
2351,D,0.375,0.375,1.5,1.5,D,D,D,W,W,D
2352,H,0.875,-0.375,1.75,0.875,L,D,W,L,W,D
