,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
422,D,-0.4,0.6,0.4,2.0,D,W,D,W,L,D
423,NH,-0.6,0.4,0.2,1.8,L,L,L,W,D,W
424,H,-0.4,-0.2,0.6,1.0,L,D,W,L,L,D
425,NH,0.6,-0.2,1.6,1.0,D,D,W,D,D,W
426,D,0.8,0.0,2.0,1.4,D,D,W,W,W,L
427,H,1.4,0.6,1.8,1.6,W,W,L,D,W,D
428,H,-0.2,-1.4,0.6,0.2,D,L,D,L,D,L
429,D,0.4,-0.6,1.4,0.4,W,D,D,L,W,D
430,D,0.0,0.6666666666666666,1.0,1.8333333333333333,W,D,D,D,D,W
431,H,0.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,D,L,D,D,W,W
432,NH,-0.5,0.0,0.5,1.3333333333333333,D,W,D,D,L,D
433,NH,0.3333333333333333,0.16666666666666666,1.3333333333333333,1.0,L,W,W,L,D,W
434,H,0.5,-0.6666666666666666,1.8333333333333333,0.8333333333333334,D,L,W,D,W,L
435,D,0.6666666666666666,-0.3333333333333333,1.5,0.5,W,D,W,D,W,D
436,NH,0.5,0.16666666666666666,2.0,1.0,W,D,L,L,W,D
437,NH,-1.3333333333333333,0.3333333333333333,0.16666666666666666,1.3333333333333333,L,D,L,W,L,D
438,H,-0.3333333333333333,1.3333333333333333,0.8333333333333334,2.0,D,W,D,W,L,L
439,H,-1.1666666666666667,-0.6666666666666666,0.3333333333333333,0.16666666666666666,L,L,D,L,L,L
440,D,-0.2857142857142857,-0.8571428571428571,0.5714285714285714,0.7142857142857143,D,W,D,L,D,D
441,D,0.0,0.14285714285714285,1.1428571428571428,1.1428571428571428,L,L,L,L,D,W
442,H,0.2857142857142857,0.0,1.2857142857142858,1.0,W,D,D,W,L,D
443,H,-0.7142857142857143,0.5714285714285714,0.7142857142857143,1.4285714285714286,L,D,L,W,D,W
444,H,0.2857142857142857,-0.14285714285714285,1.2857142857142858,1.1428571428571428,W,W,W,D,L,D
445,D,0.2857142857142857,0.2857142857142857,1.5714285714285714,1.5714285714285714,W,W,W,D,D,D
446,NH,0.5714285714285714,0.2857142857142857,1.7142857142857142,1.7142857142857142,D,L,D,W,D,L
447,H,-1.5714285714285714,-0.7142857142857143,0.14285714285714285,0.42857142857142855,L,L,L,D,L,D
448,D,1.0,-0.7142857142857143,1.7142857142857142,0.14285714285714285,L,L,W,L,W,L
449,D,0.7142857142857143,0.5714285714285714,1.5714285714285714,2.0,W,W,D,D,W,W
450,D,0.375,-0.25,1.5,0.625,W,D,W,D,D,D
451,NH,-0.625,0.25,0.25,1.5,D,L,L,D,L,D
452,D,0.125,0.625,1.125,1.5,D,D,L,W,L,D
453,H,0.5,0.25,1.875,1.5,D,D,W,W,D,W
454,H,0.5,0.0,1.875,1.125,W,D,L,L,W,L
455,H,-0.5,-1.25,1.0,0.5,L,W,W,L,D,L
456,D,0.875,-0.75,1.625,0.375,D,L,L,L,W,D
457,H,-0.125,0.25,0.875,1.25,L,L,D,D,W,W
458,D,0.25,-0.375,1.5,1.0,D,W,W,L,D,L
459,NH,-0.75,0.625,0.75,1.5,D,W,W,W,L,W
460,NH,0.3333333333333333,0.7777777777777778,1.6666666666666667,2.0,W,W,L,D,D,W
461,NH,0.5555555555555556,0.7777777777777778,1.4444444444444444,1.5555555555555556,D,D,D,D,W,L
462,NH,-0.6666666666666666,0.2222222222222222,0.4444444444444444,1.4444444444444444,D,D,L,D,L,W
463,H,-0.2222222222222222,0.1111111111111111,0.6666666666666666,1.1111111111111112,D,W,D,L,D,D
464,D,-0.3333333333333333,-0.7777777777777778,1.0,0.6666666666666666,D,L,W,D,L,W
465,NH,0.6666666666666666,0.5555555555555556,1.6666666666666667,2.0,W,W,W,W,W,L
466,D,0.0,-0.3333333333333333,1.1111111111111112,1.2222222222222223,L,W,L,L,D,W
467,D,-0.1111111111111111,0.1111111111111111,1.3333333333333333,1.1111111111111112,L,D,D,D,W,L
468,H,-0.1111111111111111,-0.6666666666666666,1.0,0.2222222222222222,L,L,D,D,L,L
469,H,-1.2222222222222223,0.3333333333333333,0.4444444444444444,1.4444444444444444,L,D,W,W,L,W
470,NH,-0.3,-0.3,1.2,1.0,D,D,W,D,L,W
471,D,0.3,-0.9,1.6,0.7,W,W,D,L,D,W
472,H,0.1,0.2,1.3,1.5,L,L,D,W,W,L
473,D,-0.7,-0.1,0.2,0.9,L,W,L,D,D,D
474,D,0.1,0.0,1.1,1.1,D,D,D,L,D,L
475,H,0.8,-0.7,2.1,0.4,W,L,W,D,D,L
476,H,-0.1,0.4,1.3,1.3,D,L,L,D,D,D
477,H,0.6,0.0,2.1,1.0,W,L,W,W,W,L
478,H,0.8,0.5,1.7,1.5,W,L,D,W,D,W
479,D,-0.7,0.0,0.7,1.2,D,W,L,L,D,D
480,H,0.2727272727272727,0.2727272727272727,1.3636363636363635,1.4545454545454546,L,W,L,L,W,D
481,NH,0.0,0.9090909090909091,1.3636363636363635,1.8181818181818181,L,W,L,W,W,D
482,NH,-0.8181818181818182,0.09090909090909091,0.36363636363636365,1.0909090909090908,L,D,L,D,D,D
483,H,-0.18181818181818182,0.0,1.1818181818181819,1.4545454545454546,W,W,D,D,D,L
484,H,0.0,0.2727272727272727,1.0909090909090908,1.1818181818181819,D,L,D,L,L,D
485,D,0.0,-0.09090909090909091,1.1818181818181819,0.9090909090909091,D,D,W,W,L,D
486,H,0.7272727272727273,-0.6363636363636364,2.1818181818181817,0.7272727272727273,W,D,W,D,W,L
487,NH,-0.8181818181818182,0.9090909090909091,0.7272727272727273,2.1818181818181817,D,W,W,W,L,W
488,H,-0.18181818181818182,-0.6363636363636364,0.9090909090909091,0.2727272727272727,L,D,L,L,W,L
489,NH,0.2727272727272727,-0.36363636363636365,1.5454545454545454,1.0909090909090908,D,L,W,D,D,W
490,H,-0.08333333333333333,0.9166666666666666,0.9166666666666666,2.25,D,W,D,W,W,W
491,D,0.16666666666666666,-0.08333333333333333,1.25,1.25,W,L,D,L,D,L
492,D,-0.8333333333333334,0.4166666666666667,0.3333333333333333,1.5,L,W,L,L,L,L
493,D,-0.8333333333333334,0.08333333333333333,0.25,1.3333333333333333,L,L,D,W,L,L
494,H,0.9166666666666666,-0.25,2.25,1.25,W,W,W,L,W,D
495,H,-0.08333333333333333,-0.8333333333333334,1.3333333333333333,0.6666666666666666,L,L,W,D,D,W
496,NH,0.0,0.4166666666666667,1.1666666666666667,1.25,D,W,D,D,W,D
497,H,0.9166666666666666,-0.08333333333333333,1.9166666666666667,1.3333333333333333,W,W,W,W,W,D
498,H,-0.8333333333333334,0.08333333333333333,0.6666666666666666,1.0833333333333333,L,W,D,L,D,L
499,H,-0.16666666666666666,0.16666666666666666,1.0833333333333333,1.4166666666666667,L,L,L,D,L,W
500,H,-0.7692307692307693,0.07692307692307693,0.3076923076923077,1.2307692307692308,D,W,L,L,D,L
501,H,-0.07692307692307693,-0.23076923076923078,1.2307692307692308,1.0769230769230769,D,L,L,D,L,D
502,NH,0.07692307692307693,-0.6923076923076923,1.3076923076923077,0.8461538461538461,D,W,L,L,W,D
503,H,-0.6153846153846154,-1.0,1.2307692307692308,0.6153846153846154,L,L,W,L,W,D
504,H,0.15384615384615385,0.0,1.2307692307692308,1.0769230769230769,D,W,W,D,D,D
505,H,0.6153846153846154,-0.7692307692307693,1.3846153846153846,0.38461538461538464,W,D,W,L,D,L
506,NH,0.7692307692307693,0.9230769230769231,2.076923076923077,2.3076923076923075,L,W,W,W,W,W
507,D,-0.3076923076923077,0.15384615384615385,1.1538461538461537,1.4615384615384615,L,W,W,L,L,W
508,NH,0.0,1.3846153846153846,1.0,2.0,L,W,W,W,L,W
509,D,-0.07692307692307693,0.38461538461538464,1.3076923076923077,1.4615384615384615,L,D,L,W,D,L
510,H,0.9285714285714286,-0.07142857142857142,2.357142857142857,1.2857142857142858,W,D,W,L,W,L
